     5.000 1 0 1 0 1 1 1 1 0      0.471      0.141      0.001      0.133      0.254    1
     5.000 0 0 1 0 0 1 0 1 1      0.958      0.001      0.003      0.030      0.008    1
     4.000 0 0 0 0 0 1 0 0 1      0.810      0.000      0.186      0.001      0.003    1
     4.000 0 0 0 0 1 1 0 1 1      0.992      0.001      0.004      0.000      0.003    1
     4.000 0 0 0 1 1 0 0 1 1      0.834      0.002      0.086      0.000      0.078    1
     4.000 0 0 1 1 1 0 1 1 1      0.678      0.117      0.001      0.002      0.202    1
     4.000 0 0 0 0 1 0 1 1 0      0.819      0.000      0.159      0.000      0.022    1
     4.000 0 0 1 0 0 1 1 1 0      0.954      0.000      0.004      0.029      0.013    1
     4.000 0 0 0 0 1 1 1 1 0      0.989      0.000      0.007      0.000      0.004    1
     4.000 0 0 0 1 0 1 0 1 1      0.989      0.000      0.005      0.001      0.004    1
     3.000 0 0 0 1 1 1 0 0 1      0.834      0.002      0.103      0.000      0.062    1
     3.000 1 0 0 1 1 1 1 1 1      0.508      0.455      0.000      0.013      0.024    1
     3.000 0 0 1 0 1 1 0 1 0      0.799      0.002      0.063      0.002      0.134    1
     3.000 0 0 1 1 1 1 1 0 1      0.701      0.130      0.002      0.002      0.165    1
     3.000 0 0 0 0 0 1 1 0 0      0.735      0.000      0.259      0.001      0.005    1
     3.000 0 0 0 0 0 1 1 * 1      0.991      0.000      0.002      0.007      0.000    1
     3.000 0 0 0 * 0 1 1 1 1      0.993      0.000      0.000      0.006      0.001    1
     3.000 1 0 0 0 0 1 1 1 0      0.861      0.000      0.006      0.120      0.012    1
     3.000 1 0 1 0 0 0 0 1 1      0.398      0.002      0.026      0.322      0.252    1
     3.000 1 0 0 1 1 1 0 1 1      0.670      0.210      0.002      0.006      0.112    1
     3.000 0 0 0 1 1 1 0 1 1      0.974      0.008      0.003      0.000      0.014    1
     2.000 0 1 0 0 1 1 0 1 1      0.849      0.043      0.005      0.021      0.083    1
     2.000 1 0 0 0 0 0 0 1 1      0.789      0.000      0.111      0.056      0.044    1
     2.000 0 0 1 0 0 0 1 1 1      0.943      0.000      0.003      0.039      0.015    1
     2.000 0 0 1 0 0 1 1 * 1      0.922      0.001      0.001      0.072      0.004    1
     2.000 1 0 1 0 0 1 0 0 1      0.404      0.003      0.031      0.360      0.202    1
     2.000 1 0 0 0 0 1 1 0 0      0.713      0.000      0.183      0.053      0.050    1
     2.000 0 0 0 0 1 1 1 0 1      0.989      0.000      0.006      0.001      0.004    1
     2.000 1 0 0 0 1 1 0 1 0      0.764      0.003      0.096      0.007      0.130    1
     2.000 0 0 0 0 0 0 1 1 0      0.766      0.000      0.227      0.001      0.006    1
     2.000 0 0 1 0 0 0 1 1 0      0.807      0.000      0.109      0.012      0.071    1
     2.000 0 0 1 0 1 1 1 1 0      0.941      0.007      0.003      0.005      0.044    1
     2.000 0 0 0 1 0 0 0 1 1      0.843      0.000      0.133      0.000      0.023    1
